Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,TB Survey,Tuberculosis incidence [3.3.2],,"Per 100,000 population",106
2016,Normal value,Units,TB Survey,Tuberculosis incidence [3.3.2],,"Per 100,000 population",178
2017,Normal value,Units,TB Survey,Tuberculosis incidence [3.3.2],,"Per 100,000 population",162
2018,Normal value,Units,TB Survey,Tuberculosis incidence [3.3.2],,"Per 100,000 population",182
2019,Normal value,Units,TB Survey,Tuberculosis incidence [3.3.2],,"Per 100,000 population",308
2020,Normal value,Units,TB Survey,Tuberculosis incidence [3.3.2],,"Per 100,000 population",142
2021,Normal value,Units,TB Survey,Tuberculosis incidence [3.3.2],,"Per 100,000 population",234
