Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2017,A,0,Uganda National Household Survey,SH_H2O_SAFE,,,PT,79.8
2020,A,0,Uganda National Household Survey,SH_H2O_SAFE,,,PT,79.3
2024,A,0,Uganda National Household Survey,SH_H2O_SAFE,,,PT,80.8
2017,A,0,Uganda National Household Survey,SH_H2O_SAFE,,F,PT,82.0
2020,A,0,Uganda National Household Survey,SH_H2O_SAFE,,F,PT,80.1
2024,A,0,Uganda National Household Survey,SH_H2O_SAFE,,F,PT,81.0
2017,A,0,Uganda National Household Survey,SH_H2O_SAFE,,M,PT,78.9
2020,A,0,Uganda National Household Survey,SH_H2O_SAFE,,M,PT,77.5
2024,A,0,Uganda National Household Survey,SH_H2O_SAFE,,M,PT,80.5
