Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2016,A,0,NLFS,SL_TLF_MANF,,,PT,9.4
2017,A,0,NLFS,SL_TLF_MANF,,,PT,4.7
2018,A,0,NLFS,SL_TLF_MANF,,,PT,5.9
2019,A,0,NLFS,SL_TLF_MANF,,,PT,5.8
2016,A,0,NLFS,SL_TLF_MANF,,F,PT,8.1
2017,A,0,NLFS,SL_TLF_MANF,,F,PT,3.4
2018,A,0,NLFS,SL_TLF_MANF,,F,PT,6.7
2019,A,0,NLFS,SL_TLF_MANF,,F,PT,6.2
2016,A,0,NLFS,SL_TLF_MANF,,M,PT,10.2
2017,A,0,NLFS,SL_TLF_MANF,,M,PT,6.2
2018,A,0,NLFS,SL_TLF_MANF,,M,PT,5.1
2019,A,0,NLFS,SL_TLF_MANF,,M,PT,5.2
2016,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,,PT,9.4
2017,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,,PT,4.7
2018,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,,PT,5.9
2019,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,,PT,5.8
2020,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,,PT,8.3
2021,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,,PT,8.3
2024,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,,PT,6.9
2016,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,F,PT,8.1
2017,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,F,PT,3.4
2018,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,F,PT,6.7
2019,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,F,PT,6.2
2020,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,F,PT,10.4
2021,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,F,PT,8.1
2024,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,F,PT,7.8
2016,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,M,PT,10.2
2017,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,M,PT,6.2
2018,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,M,PT,5.1
2019,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,M,PT,5.2
2020,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,M,PT,6.8
2021,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,M,PT,8.4
2024,A,0,NATIONAL LABOUR FORCE SURVEY,SL_TLF_MANF_19ICLS,,M,PT,6.2
