Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,Source details,Value
2016,Normal value,Units,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,87.0
2017,Normal value,Units,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,85.0
2018,Normal value,Units,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,89.0
2019,Normal value,Units,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,89.0
2016,Normal value,Units,"Countries with procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA) [6.b.1]",,Number,Indicator 6.6.1 thematic report 2017,-0.0088
2017,Normal value,Units,"Countries with procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA) [6.b.1]",,Number,Indicator 6.6.1 thematic report 2017,0.01
