Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,UBOS - NATIONAL ACCOUNTS STATISTICS,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,3.6
2016,Normal value,Units,UBOS - NATIONAL ACCOUNTS STATISTICS,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,4.1
2017,Normal value,Units,UBOS - NATIONAL ACCOUNTS STATISTICS,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,3.9
2018,Normal value,Units,UBOS - NATIONAL ACCOUNTS STATISTICS,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,3.9
2019,Normal value,Units,UBOS - NATIONAL ACCOUNTS STATISTICS,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,4.1
2020,Normal value,Units,UBOS - NATIONAL ACCOUNTS STATISTICS,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,3.4
2021,Normal value,Units,UBOS - NATIONAL ACCOUNTS STATISTICS,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,2.8
2022,Normal value,Units,UBOS - NATIONAL ACCOUNTS STATISTICS,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,2.595270344555598
2023,Normal value,Units,UBOS - NATIONAL ACCOUNTS STATISTICS,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,2.7967529948496326
2024,Normal value,Units,UBOS - NATIONAL ACCOUNTS STATISTICS,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,2.516649209154332
2025,Normal value,Units,UBOS - NATIONAL ACCOUNTS STATISTICS,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,2.1
