Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2009,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,34.05722632177648
2010,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,32.300434204558414
2011,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,28.69736882286408
2012,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,26.934104175425198
2013,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,26.04452257952013
2014,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,24.864464499885937
2015,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,23.53781303337848
2016,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,22.66032278684218
2017,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,23.45883538253468
2018,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,23.25029354229876
2019,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,22.94550880696198
2020,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,23.929033720480817
2021,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,23.84180382720068
2022,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,24.011722052945903
2023,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,24.08957468974901
2024,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,24.61895059862348
2025,Normal value,Units,GFS (Administrative data),Agriculture value added share of GDP [2.a.1],,Percent,26.132541626988253
2009,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.0930718745359434
2010,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.0989270032057492
2011,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.1142870211961889
2012,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.1109924656132782
2013,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.1074932410203852
2014,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.1309635605565713
2015,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.1180449083107207
2016,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.1263370281550521
2017,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.1893895804564702
2018,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.1793966718304876
2019,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.0915268854646073
2020,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.1562514052227836
2021,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.0614210731833753
2022,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.0817183367689463
2023,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.0831124504960662
2024,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.0790712928417538
2025,Normal value,Units,GFS (Administrative data),Agriculture orientation index for government expenditures [2.a.1],,Ratio,0.0836110087523795
